"data","precipitacao","temperatura","umidade","radiacao"
"2010-01-01",3248.6,24.1499471123334,80.0970781283083,7931242.5
"2010-01-02",2366.8,24.6971498457939,78.4744121715076,8831092.5
"2010-01-03",1481.6,25.2355917758602,76.4380059650618,9483996.6
"2010-01-04",2555,25.6093537414966,75.6129925452609,9357980.1
"2010-01-05",1678.8,25.9070464448932,74.6327268858389,9613092.5
"2010-01-06",2125.8,25.5908170874614,76.1487250613464,8731895.5
"2010-01-07",2213.4,24.8403230949091,78.2195044134851,8389017.6
"2010-01-08",2075.4,24.7856385235469,78.7545367717288,7965795.4
"2010-01-09",1821.4,24.9419145771356,78.9053134962806,7813685.4
"2010-01-10",2021,25.0224725098751,78.2748693890607,7967431.1
"2010-01-11",1895.6,25.1859534284795,77.2664664235143,8673211.7
"2010-01-12",2105.2,25.1608513832297,77.5424492862509,8588995.6
"2010-01-13",2511.8,24.3947981640579,79.2476740077729,7335498.2
"2010-01-14",1464.4,24.7671244543809,77.4597995308168,9215136.7
"2010-01-15",2266.8,24.7743027464339,76.3533802516528,8874064.8
"2010-01-16",2255.2,24.9571627111396,76.4311838306064,8919866.3
"2010-01-17",1995.4,25.4207987220447,75.9292412617221,8971134.2
"2010-01-18",1156.4,25.5774464913215,74.2795653100362,9622762.5
"2010-01-19",2543.2,25.7369116080937,74.2919505962521,9176014.4
"2010-01-20",2878.6,25.2408276450512,75.416871329418,8964092.2
"2010-01-21",2364,24.772737022737,76.3448275862069,8954553.8
"2010-01-22",2379.2,24.6701604278075,76.9076939494184,8457982
"2010-01-23",2321.4,24.6736273145671,77.1161772557395,8611659
"2010-01-24",1724.2,25.0334973262032,76.4564266666667,8946210.2
"2010-01-25",2463.2,24.9038049303323,77.0005349882303,8700309.2
"2010-01-26",1706,24.9063868613139,77.2622493835102,8687911.1
"2010-01-27",2630.8,24.8608485499463,77.8056688855486,8392228.1
"2010-01-28",2149.2,24.9487930479562,78.1115285530271,8208476.5
"2010-01-29",2072.2,25.2224852071006,77.2146084337349,8669798.8
"2010-01-30",1247.4,25.7181377825619,74.7563233236465,9080632.1
"2010-01-31",925,25.8831346009238,74.3907071574203,9022335.5
"2010-02-01",1096.4,26.214555947419,73.4042757883485,9007751.4
"2010-02-02",722.4,26.6195552718374,71.1498350537406,9505159.8
"2010-02-03",472.2,27.226670212766,68.122140653261,10482542.6
"2010-02-04",930.8,27.2238430368949,68.1760818588787,9916705.6
"2010-02-05",957.8,27.0214879556598,69.845113902491,9862972.3
"2010-02-06",964,26.4276926351639,71.4396130129704,8882535.6
